area,ticket_date,waste_type,net_weight_kg,temperature (C),humidity (%),Holiday,,
Boralesgamuwa UC,01/01/2012,MSW,17340,25.75,72.5,0,,
Boralesgamuwa UC,02/01/2012,MSW,25980,26.25,71.5,0,,
Boralesgamuwa UC,03/01/2012,MSW,29220,26.75,75.5,0,,
Boralesgamuwa UC,04/01/2012,MSW,7450,27.25,79,0,,
Boralesgamuwa UC,05/01/2012,MSW,10520,26.25,82,0,,
Boralesgamuwa UC,06/01/2012,MSW,29260,26,78.5,0,,
Boralesgamuwa UC,07/01/2012,MSW,11820,25.33,85.5,0,,
Boralesgamuwa UC,08/01/2012,MSW,20680,26.75,82,1,,
Boralesgamuwa UC,09/01/2012,MSW,23940,27,80.5,0,,
Boralesgamuwa UC,10/01/2012,MSW,23330,27.25,81,0,,
Boralesgamuwa UC,11/01/2012,MSW,21590,27.25,76.5,0,,
Boralesgamuwa UC,12/01/2012,MSW,25340,26.75,76.5,0,,
Boralesgamuwa UC,13/01/2012,MSW,22270,27.5,66,0,,
Boralesgamuwa UC,14/01/2012,MSW,15710,26.25,67.5,0,,
Boralesgamuwa UC,15/01/2012,MSW,11870,26.25,57,1,,
Boralesgamuwa UC,16/01/2012,MSW,23560,26.33,66.5,0,,
Boralesgamuwa UC,17/01/2012,MSW,22890,25.75,72,0,,
Boralesgamuwa UC,18/01/2012,MSW,27120,24.67,76,0,,
Boralesgamuwa UC,19/01/2012,MSW,30750,26.25,75.5,0,,
Boralesgamuwa UC,20/01/2012,MSW,20460,26.5,76,0,,
Boralesgamuwa UC,21/01/2012,MSW,17470,26.25,73.5,0,,
Boralesgamuwa UC,22/01/2012,MSW,10640,26.25,75.5,0,,
Boralesgamuwa UC,23/01/2012,MSW,21490,28,59.5,0,,
Boralesgamuwa UC,24/01/2012,MSW,16470,23,74,0,,
Boralesgamuwa UC,25/01/2012,MSW,21840,26.25,71,0,,
Boralesgamuwa UC,26/01/2012,MSW,32950,26.5,71.5,0,,
Boralesgamuwa UC,27/01/2012,MSW,25050,27.25,73.5,0,,
Boralesgamuwa UC,28/01/2012,MSW,17420,27,78.5,0,,
Boralesgamuwa UC,29/01/2012,MSW,11400,26.5,74.5,0,,
Boralesgamuwa UC,30/01/2012,MSW,22230,26.25,75.5,0,,
Boralesgamuwa UC,31/01/2012,MSW,22400,26.5,69.5,0,,
Boralesgamuwa UC,01/02/2012,MSW,17780,27.5,60.5,0,,
Boralesgamuwa UC,02/02/2012,MSW,29190,27.75,64.5,0,,
Boralesgamuwa UC,03/02/2012,MSW,24360,28,72.5,0,,
